lattice,SimpleOrthorhombic
a,11.4
b,5.7
c,11.4
fractional_coordinates,"[[0.0, 0.0, 0.0], [0.0, 0.0, 0.5], [0.5, 0.0, 0.0], [0.5, 0.0, 0.5], [0.25, 0.5, 0.25], [0.25, 0.5, 0.75], [0.75, 0.5, 0.25], [0.75, 0.5, 0.75], [0.25, 0.5, 0.0], [0.25, 0.5, 0.5], [0.75, 0.5, 0.0], [0.75, 0.5, 0.5], [0.0, 0.5, 0.25], [0.0, 0.5, 0.75], [0.5, 0.5, 0.25], [0.5, 0.5, 0.75], [0.25, 0.0, 0.25], [0.25, 0.0, 0.75], [0.75, 0.0, 0.25], [0.75, 0.0, 0.75]]"
Br,Cl,Cs,Ge,I,K,Na,Rb,Sn,e_list
6.0,6.0,4.0,6,12.0,4.0,0.0,0.0,2.0,"['Cs', 'Cs', 'Cs', 'K', 'K', 'K', 'K', 'Cs', 'Ge', 'Sn', 'Sn', 'Ge', 'Ge', 'Ge', 'Ge', 'Ge', 'I', 'I', 'I', 'Br', 'I', 'I', 'Cl', 'Cl', 'Br', 'I', 'Br', 'Br', 'Br', 'Br', 'Cl', 'I', 'I', 'Cl', 'I', 'Cl', 'Cl', 'I', 'I', 'I']"
0.0,0.0,2.0,6,24.0,4.0,2.0,0.0,2.0,"['Cs', 'K', 'Cs', 'K', 'Na', 'K', 'Na', 'K', 'Sn', 'Ge', 'Ge', 'Ge', 'Sn', 'Ge', 'Ge', 'Ge', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I']"
0.0,24.0,2.0,2,0.0,2.0,4.0,0.0,6.0,"['Na', 'K', 'Na', 'Na', 'Na', 'Cs', 'K', 'Cs', 'Sn', 'Sn', 'Ge', 'Ge', 'Sn', 'Sn', 'Sn', 'Sn', 'Cl', 'Cl', 'Cl', 'Cl', 'Cl', 'Cl', 'Cl', 'Cl', 'Cl', 'Cl', 'Cl', 'Cl', 'Cl', 'Cl', 'Cl', 'Cl', 'Cl', 'Cl', 'Cl', 'Cl', 'Cl', 'Cl', 'Cl', 'Cl']"
6.0,6.0,2.0,6,12.0,0.0,2.0,4.0,2.0,"['Rb', 'Cs', 'Rb', 'Rb', 'Na', 'Na', 'Rb', 'Cs', 'Sn', 'Ge', 'Ge', 'Ge', 'Sn', 'Ge', 'Ge', 'Ge', 'Br', 'Cl', 'I', 'Br', 'I', 'I', 'I', 'I', 'Cl', 'Cl', 'I', 'I', 'I', 'Cl', 'Cl', 'I', 'I', 'Br', 'Br', 'Br', 'Br', 'I', 'I', 'Cl']"
6.0,6.0,0.0,6,12.0,4.0,4.0,0.0,2.0,"['K', 'Na', 'Na', 'K', 'Na', 'K', 'Na', 'K', 'Ge', 'Sn', 'Sn', 'Ge', 'Ge', 'Ge', 'Ge', 'Ge', 'I', 'Cl', 'I', 'I', 'Cl', 'Cl', 'I', 'Br', 'I', 'I', 'Cl', 'Cl', 'Br', 'I', 'Cl', 'I', 'I', 'Br', 'Br', 'I', 'Br', 'I', 'Br', 'I']"
12.0,6.0,8.0,4,6.0,0.0,0.0,0.0,4.0,"['Cs', 'Cs', 'Cs', 'Cs', 'Cs', 'Cs', 'Cs', 'Cs', 'Sn', 'Sn', 'Ge', 'Ge', 'Ge', 'Ge', 'Sn', 'Sn', 'Br', 'Cl', 'Cl', 'I', 'I', 'I', 'Br', 'Br', 'Br', 'Br', 'Cl', 'Br', 'Br', 'I', 'Cl', 'Cl', 'Cl', 'I', 'Br', 'Br', 'Br', 'Br', 'Br', 'I']"
12.0,6.0,0.0,6,6.0,0.0,0.0,8.0,2.0,"['Rb', 'Rb', 'Rb', 'Rb', 'Rb', 'Rb', 'Rb', 'Rb', 'Ge', 'Sn', 'Sn', 'Ge', 'Ge', 'Ge', 'Ge', 'Ge', 'Br', 'Cl', 'Cl', 'I', 'Br', 'I', 'Cl', 'Cl', 'Br', 'Br', 'Br', 'Br', 'Br', 'Br', 'Br', 'Cl', 'I', 'Cl', 'I', 'Br', 'Br', 'I', 'I', 'Br']"
6.0,6.0,0.0,8,12.0,2.0,4.0,2.0,0.0,"['Rb', 'Na', 'K', 'Na', 'Na', 'Rb', 'K', 'Na', 'Ge', 'Ge', 'Ge', 'Ge', 'Ge', 'Ge', 'Ge', 'Ge', 'Cl', 'Br', 'I', 'Cl', 'I', 'I', 'Cl', 'Cl', 'Cl', 'Br', 'I', 'Br', 'I', 'I', 'Br', 'I', 'Cl', 'I', 'I', 'Br', 'I', 'I', 'I', 'Br']"
0.0,18.0,4.0,6,6.0,2.0,0.0,2.0,2.0,"['K', 'Rb', 'Cs', 'Cs', 'Cs', 'Cs', 'K', 'Rb', 'Ge', 'Sn', 'Ge', 'Ge', 'Sn', 'Ge', 'Ge', 'Ge', 'I', 'I', 'I', 'Cl', 'Cl', 'Cl', 'Cl', 'Cl', 'I', 'Cl', 'Cl', 'I', 'Cl', 'Cl', 'Cl', 'Cl', 'Cl', 'Cl', 'Cl', 'Cl', 'I', 'Cl', 'Cl', 'Cl']"
12.0,6.0,2.0,2,6.0,0.0,0.0,6.0,6.0,"['Rb', 'Rb', 'Rb', 'Cs', 'Cs', 'Rb', 'Rb', 'Rb', 'Sn', 'Sn', 'Ge', 'Ge', 'Sn', 'Sn', 'Sn', 'Sn', 'Br', 'Br', 'Br', 'Cl', 'Br', 'I', 'Cl', 'I', 'Br', 'Cl', 'I', 'Br', 'I', 'I', 'Cl', 'Br', 'Br', 'Br', 'Br', 'Br', 'I', 'Cl', 'Br', 'Cl']"
